City,AQI,PM2.5/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
荆州,71,51,90,1.2,54,18,58,3
金华,65,32,53,0.73,28,97,116,5
济宁,97,36,66,0.77,17,98,155,16
金坛,58,38,63,0.65,42,23,56,6
晋中,95,38,137,1.08,96,29,106,14
锦州,76,35,34,0.68,13,113,129,11
九江,46,28,45,0.74,22,61,83,6
酒泉,101,40,150,0.5,14,100,107,5
鸡西,71,49,89,0.65,14,72,84,5
句容,57,34,61,0.6,31,44,88,10
开封,66,40,80,0.66,20,91,115,8
喀什地区,74,14,65,0.33,18,110,127,5
克拉玛依,45,14,29,0.6,16,84,88,5
克州,92,7,33,0.7,3,141,149,7
库尔勒,68,10,83,0.43,11,102,113,5
昆明,71,25,43,0.76,21,110,124,8
昆山,70,39,88,0.65,66,17,53,7
来宾,48,25,46,0.6,14,73,94,6
莱芜,88,65,99,0.67,18,89,77,10
莱西,48,24,45,0.35,6,74,94,5
莱州,66,19,40,0.6,12,89,118,9
廊坊,112,41,109,0.83,31,131,172,9
兰州,77,31,101,0.65,24,95,123,8
拉萨,70,16,49,0.42,28,106,122,5
乐山,53,24,53,0.68,36,67,90,5
凉山州,94,16,34,0.57,19,136,151,9
连云港,41,23,27,0.68,15,82,81,8
聊城,100,47,87,0.7,21,135,158,35
辽阳,44,20,30,0.53,6,81,86,6
辽源,80,31,52,0.6,4,121,134,3
丽江,71,9,40,0.7,6,119,124,8
临安,75,54,63,0.9,48,70,99,11
临沧,80,39,62,0.7,8,132,134,6
临汾,82,53,112,1.33,22,113,125,19
临夏州,70,37,86,0.65,23,91,122,9
临沂,42,20,41,0.43,18,63,83,5
林芝,65,33,0,0.3,6,110,116,8
林芝地区,18,4,16,0.35,6,51,35,3
丽水,61,43,45,0.73,22,52,92,5
六盘水,58,32,61,0.8,19,99,108,12
柳州,51,29,50,0.72,17,74,90,5
溧阳,59,36,65,1.45,29,55,66,5
陇南,57,25,62,0.4,11,87,101,6
龙岩,27,14,24,0.65,18,39,53,5
娄底,31,13,19,0.64,9,55,60,5
六安,65,46,78,0.75,22,58,58,4
漯河,54,26,55,0.85,26,72,103,5
洛阳,125,45,109,0.65,37,121,186,8
泸州,53,35,48,0.75,24,75,102,4
吕梁,93,53,133,0.9,73,41,98,19
马鞍山,53,36,52,0.96,29,70,76,6
茂名,42,19,41,0.5,10,29,56,2
眉山,77,27,61,0.57,29,95,131,11
梅州,38,26,29,0.83,27,35,66,6
绵阳,56,29,59,0.55,24,58,84,4
牡丹江,52,28,52,0.38,14,75,94,1
南昌,46,25,45,1.06,38,32,68,2
南充,51,33,50,0.73,26,45,78,3
南京,61,42,69,0.59,39,39,69,10
南宁,49,23,48,0.59,19,53,69,6
南平,33,9,12,0.53,8,62,64,3
南通,39,27,33,0.38,22,57,37,11
南阳,87,46,122,1.37,62,74,117,4
那曲地区,45,17,36,0.6,7,85,88,6
内江,63,38,73,0.73,52,35,88,8
宁波,54,13,23,0.51,18,64,103,5
宁德,51,33,50,0.88,20,80,94,7
怒江州,70,19,41,0.8,6,115,122,10
盘锦,60,29,35,0.67,17,84,110,10
攀枝花,78,20,41,1.92,41,106,132,20
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,80,50,65,0.9,18,85,134,10
平度,53,32,54,0.65,12,48,69,6
平凉,58,27,64,0.55,31,78,105,7
萍乡,30,21,29,1.6,19,33,37,16
普洱,76,35,63,0.4,23,102,130,7
莆田,24,7,15,0.54,16,40,47,2
濮阳,68,38,83,1.0,23,85,114,4
黔东南州,36,24,35,0.7,15,30,53,23
黔南州,48,27,47,0.5,5,71,81,9
黔西南州,70,30,47,0.45,8,99,122,6
青岛,46,27,45,0.29,15,92,91,6
庆阳,73,46,94,0.6,12,99,94,4
清远,45,16,42,0.6,18,61,88,4
秦皇岛,83,42,70,0.48,25,98,138,8
钦州,36,15,35,0.67,5,52,63,6
齐齐哈尔,43,14,42,0.3,17,71,84,4
七台河,150,72,249,0.4,16,121,120,39
泉州,35,6,13,0.38,24,56,69,7
曲靖,102,15,53,0.45,11,137,161,7
衢州,56,39,51,0.97,31,53,88,8
日喀则,77,11,38,0.6,5,127,131,2
日喀则地区,29,6,27,0.35,2,68,56,5
日照,66,47,67,0.15,8,86,95,3
荣成,58,22,44,0.6,11,87,108,11
乳山,56,19,34,0.7,11,95,105,6
三门峡,65,45,78,0.7,26,59,87,5
三明,19,8,15,1.0,23,28,36,2
三沙,30,7,20,0.3,30,51,58,6
三亚,30,20,29,0.45,5,57,46,3
上海,63,44,0,0.66,41,51,56,6
商洛,53,25,54,0.6,11,59,73,2
商丘,203,152,160,1.31,41,59,73,7
上饶,55,29,58,0.83,22,28,57,29
山南,70,9,34,0.6,13,111,122,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,34,19,33,0.48,10,41,54,6
汕尾,32,16,31,0.57,6,40,50,6
韶关,47,29,40,0.86,19,75,93,14
绍兴,111,73,170,0.82,41,91,93,10
邵阳,75,54,80,1.32,17,45,78,13
沈阳,45,19,44,0.65,17,71,88,27
深圳,39,23,38,0.56,24,32,46,4
石河子,31,18,26,0.5,30,47,60,7
石家庄,103,44,135,0.73,25,137,162,16
十堰,59,37,65,0.88,30,27,37,6
石嘴山,118,55,183,0.38,25,100,126,10
寿光,58,18,64,0.8,16,55,83,12
双鸭山,127,73,202,0.75,15,43,74,5
朔州,83,34,113,0.58,22,96,119,11
四平,67,42,71,0.6,13,107,119,5
松原,125,35,198,0.75,13,115,104,4
绥化,85,25,118,0.4,17,81,96,4
遂宁,53,32,53,0.6,14,67,86,8
随州,61,25,50,0.93,8,74,111,5
宿迁,42,26,41,0.64,22,41,68,6
苏州,71,51,78,0.63,88,13,57,5
宿州,60,32,50,0.5,9,75,110,3
塔城地区,37,10,33,0.5,10,72,73,3
泰安,91,32,104,0.63,21,114,148,13
太仓,38,20,37,0.45,41,49,51,4
太原,125,71,198,0.83,83,48,98,14
台州,41,13,25,0.43,10,66,80,2
泰州,45,31,39,0.4,12,69,67,3
唐山,129,69,119,1.27,53,107,190,25
天津,89,66,109,1.06,33,134,136,16
天水,53,25,54,0.37,13,70,76,6
铁岭,46,31,39,0.35,19,80,91,9
铜川,59,30,66,0.5,40,43,65,7
通化,37,19,36,0.25,10,64,70,5
通辽,146,94,239,0.73,11,146,133,11
铜陵,93,69,100,0.98,17,76,93,5
铜仁地区,51,13,50,0.6,24,38,63,4
吐鲁番地区,93,26,133,0.0,15,89,115,6
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,64,28,76,0.18,12,64,90,11
威海,61,27,40,0.37,9,95,112,6
渭南,67,36,82,0.63,49,18,40,5
文登,68,16,36,0.55,5,103,120,8
文山州,67,38,53,0.55,12,118,119,3
温州,45,16,21,0.63,22,57,88,5
乌海,106,54,160,0.77,21,127,130,18
武汉,76,55,87,1.5,77,18,46,4
芜湖,50,33,49,0.98,39,75,94,4
吴江,77,42,102,1.33,56,62,78,4
五家渠,43,8,16,0.6,16,76,84,8
乌兰察布,89,50,125,0.4,17,133,127,32
乌鲁木齐,44,13,43,0.61,39,47,66,5
武威,167,126,212,0.7,49,58,107,3
无锡,87,64,100,1.24,64,17,40,6
吴忠,89,55,125,0.53,11,106,112,7
梧州,42,19,41,0.95,35,21,52,8
厦门,32,19,31,0.45,26,38,54,2
西安,73,43,93,0.73,59,15,35,3
湘潭,22,12,21,0.97,36,11,23,5
湘西州,33,13,32,0.83,12,5,16,5
襄阳,113,84,127,0.95,23,89,133,11
咸宁,49,21,48,0.93,21,60,78,5
咸阳,75,43,97,0.78,64,24,46,6
孝感,60,33,68,1.0,23,46,75,5
锡林郭勒盟,84,23,115,0.2,12,80,87,6
兴安盟,48,17,38,0.23,7,87,95,3
邢台,118,64,130,1.38,29,131,178,16
西宁,98,52,143,0.53,14,103,113,8
新乡,81,49,82,0.85,26,63,136,12
信阳,66,37,80,0.75,16,79,106,4
新余,52,31,51,0.87,22,49,47,19
忻州,76,46,99,0.63,59,77,112,58
西双版纳州,97,45,142,0.55,62,42,111,9
宣城,59,41,62,0.97,29,65,86,4
许昌,54,28,47,1.07,24,64,103,6
徐州,55,24,52,0.45,20,72,104,9
雅安,41,18,40,0.38,20,51,77,6
延安,80,58,105,0.65,31,75,94,5
延边州,40,20,28,0.6,11,81,78,5
盐城,48,33,40,0.64,13,72,80,6
阳江,35,16,34,0.57,6,32,46,5
阳泉,95,49,110,0.97,25,142,152,24
扬州,60,26,68,0.43,29,42,54,6
烟台,56,29,50,0.2,9,91,106,7
宜宾,63,44,72,0.82,33,73,92,9
宜昌,52,29,51,0.7,29,32,43,5
宜春,42,26,41,0.86,19,41,45,9
伊春,79,26,105,0.33,22,46,79,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,64,20,75,0.4,7,93,95,5
银川,100,41,149,0.43,17,103,115,19
营口,48,21,30,0.38,15,85,95,6
鹰潭,50,35,36,0.64,20,25,55,4
义乌,77,56,89,0.75,38,96,114,5
宜兴,72,52,64,1.25,43,31,59,10
益阳,52,33,52,1.2,16,40,46,3
永州,55,38,52,0.84,27,59,87,8
岳阳,65,46,62,1.17,38,27,58,5
玉林,48,26,47,0.53,9,67,91,22
榆林,120,58,188,0.97,42,63,67,20
运城,74,44,95,0.7,24,66,88,3
云浮,36,15,35,0.53,12,41,57,8
玉树州,54,2,7,0.3,6,98,103,8
玉溪,90,27,59,0.53,13,134,146,7
枣庄,55,26,58,0.46,19,67,103,8
张家港,62,27,71,0.8,56,12,26,5
张家界,34,16,33,0.95,24,15,41,3
张家口,96,53,139,0.98,25,131,126,11
章丘,100,26,70,1.4,19,95,158,17
张掖,127,75,201,0.15,8,108,113,8
漳州,38,16,32,0.6,27,42,74,9
湛江,53,27,54,0.68,26,40,77,8
肇庆,39,20,38,0.6,17,43,70,5
昭通,52,23,51,0.8,18,73,101,7
招远,0,0,0,0.0,0,0,0,0
郑州,103,41,93,0.89,27,96,162,4
镇江,56,31,59,0.65,42,24,50,5
中山,30,14,24,0.48,5,37,58,2
中卫,88,39,123,0.47,8,107,110,5
周口,65,31,78,1.0,40,46,90,5
舟山,29,20,21,0.5,21,50,54,5
珠海,33,18,32,0.53,13,34,54,2
诸暨,93,69,117,0.8,28,83,100,5
驻马店,59,33,66,0.67,17,66,98,5
株洲,31,13,30,0.9,35,8,20,10
淄博,89,35,63,1.05,16,103,145,8
自贡,76,55,97,0.93,50,43,80,8
资阳,64,28,57,0.58,33,69,115,7
遵义,27,13,26,0.63,21,31,43,7
